male,title_Mr,title_Mrs,title_crew,title_highso,pclass_2,pclass_3,cabin_B,cabin_C,cabin_D,cabin_E,cabin_F,cabin_G,cabin_T,cabin_U,embarked_Q,embarked_S,Family_Single,Family_Small,Family_Large,Age,Fare,Cabin,FamilySize,Ticket,Survived
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.035450331955405236,0.30000000000000004,0.0,1.0,0.08115719346076702,1.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.23587623700363275,0.0,0.0,0.0,0.01537917417160685,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3721801035613681,0.0,0.0,0.5714285714285714,0.015712553569072387,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0.3721801035613681,0.1,0.0,0.0,0.030253985132996517,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.015126992566498259,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3721801035613681,0.20000000000000004,0.0,0.0,0.04231498029001666,0.0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.22334961793811853,0.1,0.0,0.0,0.034743286152731485,0.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0855568082174621,0.5000000000000001,0.0,0.0,0.07746484096553544,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.2609294751346612,0.0,0.0,0.2857142857142857,0.01522458606692728,0.0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.6116748089690592,0.1,0.25,0.2857142857142857,0.1497654242623688,1.0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.3611424276587749,0.1,0.0,0.0,0.050748620223090936,1.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.8121007140172868,0.1,0.25,0.0,0.1209753416358076,0.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.3721801035613681,0.0,0.25,0.0,0.06929138530460494,1.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.2609294751346612,0.0,0.0,0.2857142857142857,0.020494635090094415,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.3548791181260178,0.0,0.0,0.0,0.014110458666029575,0.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.06050357008643368,0.30000000000000004,0.0,0.2857142857142857,0.05416439273810667,1.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.135663284479519,0.7000000000000001,0.0,0.2857142857142857,0.09154270340242172,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2734560942001754,0.0,0.0,0.0,0.014110458666029575,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.4738819992484029,0.0,0.25,0.0,0.15614960068643363,1.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.5615683327070025,0.1,0.25,0.0,0.16293234896625058,0.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.04797695102091946,0.5000000000000001,0.0,0.0,0.05445717323939373,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.3721801035613681,0.0,0.0,0.2857142857142857,0.05410739813385612,0.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3721801035613681,0.20000000000000004,0.0,0.0,0.029757819776815374,1.0
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.3611424276587749,0.0,0.25,0.2857142857142857,0.020494635090094415,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.23587623700363275,0.0,0.0,0.2857142857142857,0.015923941091001644,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.2108229988726043,0.6000000000000001,0.0,0.0,0.015468569817999833,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.32356257046223225,0.20000000000000004,0.0,0.0,0.016908073949327893,0.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3987222848553176,0.0,0.0,0.2857142857142857,0.020494635090094415,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.19829637980709008,0.7000000000000001,0.0,0.2857142857142857,0.09154270340242172,0.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.2609294751346612,0.0,0.0,0.42857142857142855,0.1434624456306609,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.32356257046223225,0.1,0.0,0.0,0.028212719478023115,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3987222848553176,0.0,0.0,0.0,0.11027245763075773,1.0
1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0.311035951396718,0.0,0.5,0.0,0.014931805565640218,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.015411575213749286,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.015712553569072387,0.0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.008267568583239383,0.20000000000000004,0.0,0.0,0.056604230248832196,1.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.37366904672428913,0.0,0.0,0.0,0.024349578357040744,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.2734560942001754,0.0,0.0,0.0,0.017566830077223785,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3611424276587749,0.0,0.0,0.0,0.018542765081513996,1.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.015200187691820024,1.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3486158085932607,0.0,0.0,0.0,0.09193307740413781,0.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.2108229988726043,0.0,0.0,0.42857142857142855,0.020494635090094415,1.0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.4112489039208318,0.30000000000000004,0.0,0.0,0.030937139635999665,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.19829637980709008,0.4,0.0,0.2857142857142857,0.06709553154495196,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3721801035613681,0.0,0.0,1.0,0.015712553569072387,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.28598271326568964,0.5000000000000001,0.75,0.0,0.5133418122566507,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.2985093323312038,0.0,0.0,0.0,0.015712553569072387,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3611424276587749,0.0,0.0,0.0,0.015712553569072387,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.24840285606914697,0.0,0.0,0.0,0.015330377421392339,0.0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.5740949517725167,0.1,0.25,0.42857142857142855,0.11940564777490723,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.32356257046223225,0.30000000000000004,0.0,0.2857142857142857,0.04015972542654215,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.7369409996242015,0.0,0.0,0.0,0.014151057562208049,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.015712553569072387,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8872604284103721,0.0,0.25,0.2857142857142857,0.06764049365134761,0.0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.28598271326568964,0.1,0.5,0.2857142857142857,0.12366716556464086,1.0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.423775522986346,0.1,0.0,0.0,0.044893010197349675,1.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.423775522986346,0.1,0.0,0.0,0.050748620223090936,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3486158085932607,0.0,0.0,0.0,0.015411575213749286,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.015411575213749286,0.0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.2609294751346612,0.1,0.25,0.0,0.15085515328815924,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.4112489039208318,0.0,0.0,0.0,0.016891873428256675,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.4613553801828887,0.20000000000000004,0.0,0.0,0.015468569817999833,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3486158085932607,0.0,0.0,0.0,0.015411575213749286,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.2609294751346612,0.0,0.0,0.0,0.014931805565640218,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.015175789316712771,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.4738819992484029,0.0,0.0,0.0,0.015411575213749286,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0.3721801035613681,0.1,0.0,0.0,0.04713766070721715,1.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.5866215708380309,0.0,0.25,0.0,0.10149724044618187,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.17950645120881875,0.1,0.0,0.0,0.028212719478023115,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.2734560942001754,0.0,0.0,0.0,0.015712553569072387,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.24840285606914697,0.1,0.0,0.0,0.019177122834302632,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.2108229988726043,0.0,0.0,0.0,0.028220722145058292,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.2609294751346612,0.0,0.0,0.7142857142857142,0.015468569817999833,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.880997118877615,0.0,0.0,0.0,0.015126992566498259,0.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.3611424276587749,0.1,0.0,0.0,0.04098927018018883,0.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.2985093323312038,0.1,0.5,0.2857142857142857,0.4831284260198326,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.02292371288989102,0.6000000000000001,0.0,0.0,0.06104473451835265,0.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.2609294751346612,0.20000000000000004,0.0,0.42857142857142855,0.1434624456306609,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3721801035613681,0.0,0.0,0.2857142857142857,0.015712553569072387,0.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.4049855943880747,0.1,0.0,0.0,0.058694292654020104,0.0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.4049855943880747,0.0,0.25,0.0,0.025374310111545468,1.0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.6743079042966303,0.1,0.25,0.0,0.15085515328815924,0.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.1481899035450332,0.1,0.0,0.0,0.021942337075458514,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.015126992566498259,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.2985093323312038,0.0,0.0,0.14285714285714285,0.01393967004027879,1.0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.3721801035613681,0.20000000000000004,0.5,0.0,0.04364049521284362,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.5615683327070025,0.0,0.0,0.0,0.013614293309848433,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.4112489039208318,0.0,0.0,0.0,0.015411575213749286,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.24840285606914697,0.0,0.0,1.0,0.013760683560491965,0.0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.5866215708380309,0.1,0.0,0.2857142857142857,0.028302115124416098,0.0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.3611424276587749,0.1,0.0,0.0,0.050748620223090936,1.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.311035951396718,0.0,0.0,0.2857142857142857,0.025374310111545468,0.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.28598271326568964,0.0,0.0,1.0,0.02936744577509929,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.23587623700363275,0.20000000000000004,0.25,0.0,0.051301584996521765,1.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.4613553801828887,0.1,0.25,0.0,0.10364429745562033,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.19829637980709008,0.0,0.0,0.0,0.01798980030808316,0.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2985093323312038,0.0,0.25,0.2857142857142857,0.15458810467956932,0.0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.3721801035613681,0.20000000000000004,0.0,0.0,0.029757819776815374,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.2734560942001754,0.0,0.0,0.0,0.015126992566498259,1.0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.2985093323312038,0.1,0.0,0.8571428571428571,0.030937139635999665,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.23587623700363275,0.0,0.0,0.0,0.013175122557917838,0.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.22334961793811853,0.0,0.0,0.0,0.022446505098674838,0.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.23587623700363275,0.20000000000000004,0.0,0.2857142857142857,0.07173122281533045,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.33608918952774647,0.0,0.0,0.0,0.015216388212891242,1.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.11061004634849055,0.4,0.0,0.2857142857142857,0.06709553154495196,0.0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.4550920706501316,0.20000000000000004,0.25,0.0,0.050748620223090936,0.0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.5239884755104598,0.0,0.0,0.0,0.025374310111545468,0.0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.6367280471000877,0.0,0.0,0.42857142857142855,0.02444717185746977,0.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.2734560942001754,0.1,0.25,0.0,0.12999454257145598,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.6930978328949017,0.0,0.0,0.2857142857142857,0.015712553569072387,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.5051985469121885,0.20000000000000004,0.0,0.2857142857142857,0.028302115124416098,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3721801035613681,0.0,0.0,0.2857142857142857,0.014273049437744325,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6367280471000877,0.1,0.0,0.2857142857142857,0.11980421963065935,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.19829637980709008,0.0,0.0,0.0,0.015094396337354966,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.37366904672428913,0.0,0.0,1.0,0.015712553569072387,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3721801035613681,0.0,0.0,0.0,0.016908073949327893,0.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.3721801035613681,1.0,0.0,0.2857142857142857,0.13575255909676825,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.5490417136414882,0.1,0.0,0.0,0.031425107138144774,0.0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.49893523737943135,0.0,0.0,0.2857142857142857,0.030741952635141623,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.32356257046223225,0.0,0.0,0.0,0.015175789316712771,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.2108229988726043,0.0,0.0,0.0,0.016908073949327893,0.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0103970938243768,0.5000000000000001,0.0,0.0,0.07746484096553544,0.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.11061004634849055,0.20000000000000004,0.0,0.0,0.04006213192611313,1.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.3721801035613681,0.1,0.25,0.0,0.10735285047192313,1.0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.5615683327070025,0.5000000000000001,0.0,0.0,0.05445717323939373,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3721801035613681,0.0,0.0,0.2857142857142857,0.050602229972447406,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.3486158085932607,0.0,0.0,0.0,0.11027245763075773,0.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.7619942377552299,0.0,0.25,0.0,0.06538764528744409,0.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0.04797695102091946,0.5000000000000001,0.0,0.0,0.05684821399990475,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0103970938243768,0.20000000000000004,0.0,0.0,0.021730754366528396,1.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0.2609294751346612,0.0,0.0,0.7142857142857142,0.015468569817999833,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6993611424276588,0.0,0.25,0.0,0.05991421140938287,0.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.22334961793811853,0.20000000000000004,0.0,0.0,0.015330377421392339,0.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.3721801035613681,0.4,0.0,0.0,0.049707687947515,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6242014280345735,0.0,0.25,0.2857142857142857,0.05604306762136532,0.0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.37366904672428913,0.0,0.0,0.0,0.025374310111545468,0.0
